evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn,dydx
2022-09-12 00:00,327424665.3401674,348629882.980753,156330095.8178071,404468294.9662663,39585776.49417283,278915974.73687774,762117749.6246874,32314525.468877163,32623735.21188342,4353645.684971508,645054.0743987113,1620772.867514087
2022-09-13 00:00,316450955.8876321,345090290.3264192,143232637.42695713,369898398.0833603,39476016.67760325,278915974.73687774,764741987.6371275,33975323.10920696,32356255.038539574,4213534.2045692215,645054.0743987113,1620754.5433026021
2022-09-14 00:00,297723365.6828952,344714474.4199096,132781146.47378384,300685249.1306837,39250015.754082315,278915974.73687774,751514818.5152329,30609493.90051128,32438630.345969018,4341476.442267404,634937.8836057853,1620754.5433026021
2022-09-15 00:00,290941127.48182636,344883743.2510959,128246503.96048547,315479291.7018806,39111139.45746618,278915974.73687774,755928787.6187471,26469713.254313912,32006972.192624208,4225664.609668443,634064.5391929776,1620754.5433026021
2022-09-16 00:00,291071638.9067018,344898156.6073885,130846707.895857,310569750.9648547,39111139.45746618,278915974.73687774,749011696.8239452,41221697.384236895,31945250.435685486,4208133.505014911,633064.8235505358,1620721.0548376564
2022-09-17 00:00,290700053.4783287,344315011.7537761,126406050.56831549,309300956.1771926,39111139.45746618,278915974.73687774,758136913.850635,39395022.447015665,32054765.832116064,4217927.967213571,631460.199202215,1620711.9690317838
2022-09-18 00:00,280500117.783614,343865088.64349174,128955990.82282886,368178213.9131493,39056017.79545265,278915974.73687774,752720749.3464767,34345923.597777866,31815489.35625588,4099795.629897644,632679.2976682823,1620711.9690317838
2022-09-19 00:00,281857070.7568633,343699580.65810746,127210692.35236223,326493465.9251341,38958198.78655925,278915974.73687774,751009698.2869834,30255314.905377828,31983508.67551664,4091236.1074284227,632679.2976682823,1620711.9690317838
2022-09-20 00:00,310327233.4345857,342570514.0558828,129180540.90979843,344278615.3831322,38958198.78655925,278915974.73687774,756839221.2701352,28009673.294272184,31904754.26685872,4023600.767807385,631513.834005177,1620455.9954080465
2022-09-21 00:00,321910227.3033488,342805583.90579253,122357996.3180475,355980205.3233731,38958198.78655925,278915974.73687774,733358485.4117622,29390962.669685535,31734130.69916191,3942572.9935877887,631513.834005177,1620455.9954080465
2022-09-22 00:00,321234348.624133,336167952.6960009,155039288.29381812,358540207.70919764,38874003.85700553,278915974.73687774,779918318.3526173,39779514.46659286,32004240.63154657,4049439.2321414165,631503.6651930499,1620454.678686404
2022-09-23 00:00,323320743.57705754,312650978.646267,155901234.3658161,378117746.3185929,32770480.700852185,278915974.73687774,781245698.7081563,36688438.62988905,32035247.218863588,4049754.982495579,631503.6651930499,1620454.678686404
2022-09-24 00:00,326426091.957342,312703531.82983696,156726530.48066458,378210776.36933184,32770480.700852185,278915974.73687774,776923569.7549443,35390356.891770735,32034821.768827185,4065708.1938798963,631232.880807027,1620454.678686404
2022-09-25 00:00,328206517.9406793,312400204.8963124,156191322.95990235,377328395.0299346,32738414.792729788,278915974.73687774,775972152.9449806,36319679.737021595,31992238.617467955,4043487.9479269604,631232.880807027,1620454.678686404
2022-09-26 00:00,324790338.44646686,311978967.1209981,165303450.926443,406341183.3300583,34356282.42293078,278915974.73687774,769038154.6485037,24266113.513014067,32145205.211701382,4048479.02758733,630065.7341654069,1620454.678686404
2022-09-27 00:00,325096118.3791852,311827592.21682,163760186.02494824,416500508.0247133,32623087.177684657,278915974.73687774,773473692.1158303,28008442.71207517,30173098.76473577,4093003.451451725,630065.7341654069,1620454.678686404
2022-09-28 00:00,314330112.9556908,312130410.74765664,163337669.94852278,408110572.60308105,32548536.819780566,278915974.73687774,793346316.2793142,26133248.885546945,30209926.89543383,4098353.5037712594,630065.7341654069,1620454.678686404
2022-09-29 00:00,318695484.35589576,299935314.8579378,164190314.9960301,419726606.1288156,32498136.819780566,278915974.73687774,800549504.733669,41397242.047680825,30357037.85671366,4063757.022956997,630065.7341654069,1620454.678686404
2022-09-30 00:00,304087732.766279,300682465.8485796,162493741.47350925,414464574.24489814,49578024.027075365,278915974.73687774,800627646.8876286,44206558.227282025,30438743.087105956,4031058.3306171,629314.305935641,1620454.678686404
2022-10-01 00:00,314787684.4517869,300613704.1142871,164334150.40506572,416115005.0513507,49550848.89672123,278915974.73687774,796266697.5839211,40190186.206959106,30413960.82789878,4015221.4719201736,629314.305935641,1620454.678686404
2022-10-02 00:00,315223934.63882256,300996056.0054018,163677394.0233042,399138240.27234846,49483198.893242754,278915974.73687774,789350956.0678438,35946462.89400031,30390384.53744926,4015542.4017648767,629261.1207716846,1620454.678686404
2022-10-03 00:00,319911718.211931,291485877.70891327,143022411.08831835,399508168.912673,49156835.4908189,278915974.73687774,771104811.044655,38835932.378457315,30598736.379344355,3925638.6390336864,629261.1207716846,1620454.678686404
