evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2022-10-25 00:00,311629975.201882,2820527446.957354,515249503.429907,603440957.084212,325468699.749495,193541618.658275,5960045493.680716,37054639.682296,28355155.028213,547733.459147,
2022-10-26 00:00,302491670.044319,2774723083.009432,535102949.580089,595993021.255777,325348699.749495,172321896.369942,6004776439.920081,41351996.095921,29365952.120889,555895.451105,
2022-10-27 00:00,303694200.368951,2813421981.075327,514362649.940766,595312852.48735,325348699.749495,172305418.278051,5979447433.308517,38568672.140247,28819822.830189,559918.432349,
2022-10-28 00:00,300351335.209487,2818910191.689568,492866181.423701,594287504.069987,325248699.749495,174032310.62098,5978062844.440089,40976820.7408,29274568.601683,574018.187977,
2022-10-29 00:00,321969265.116689,2821785345.33175,509154111.359558,604677299.379966,325248699.749495,178179168.268807,5973697801.776465,36902132.005779,29292068.75912,575774.141313,
2022-10-30 00:00,316804877.458117,2812749538.769194,503127240.414141,603878375.965454,325248699.749495,178007115.857048,5970105681.974696,34485528.181829,29824235.817038,571582.704775,
2022-10-31 00:00,257561725.346057,2811711222.09501,496513728.953846,469077401.993876,325248699.749495,177475371.148718,5939289166.62659,27151595.447507,28889503.418937,562328.920974,
2022-11-01 00:00,235413559.797342,2813369662.911426,493415958.167969,466131613.889924,325248699.749495,177256623.610109,5927727998.988538,24041505.89013,29459667.334771,562866.481702,
2022-11-02 00:00,285311565.069203,2821217321.141176,479368731.370151,463008573.354685,325248699.749495,174202423.579352,5916253361.322802,28277896.348088,28540148.772751,555928.641545,
2022-11-03 00:00,282386580.563475,2759896797.646474,492924827.254749,459737574.866626,325248699.749495,173129316.690801,5928511767.568485,24590907.381468,29071682.339896,564553.577225,
2022-11-04 00:00,291353251.551026,2766833590.720269,514830321.799794,461645256.482166,324748699.749495,173773034.275612,6014290949.770609,28855419.888081,30046585.258876,583368.48822,
2022-11-05 00:00,308643020.131514,2768600717.015288,517100279.294317,464016562.543428,324748699.749495,174175801.101544,6005819716.13016,27829717.693104,29862480.30261,581320.130606,
2022-11-06 00:00,289145947.721372,2768464860.667214,503942940.258379,465903700.158695,324748699.749495,174293249.045225,6009955736.770176,23951877.724427,29363347.68711,571886.421737,
2022-11-07 00:00,294109611.534036,2778535967.794549,512912554.911862,459500666.731948,324748699.749495,177234707.629701,6043932163.956208,24353347.166516,29311118.979732,575669.494567,
2022-11-08 00:00,295018812.80417,2763954536.944095,441288184.235149,558044686.535481,332590438.895364,162351428.276034,5974559746.7663,19572244.333616,27744475.943152,539058.036845,
2022-11-09 00:00,142442329.721687,2750963206.518525,455425138.089027,606639716.836298,334809749.689676,167070826.721189,5885618982.837271,18238913.263525,18467160.942449,490409.975221,
2022-11-10 00:00,101909126.673226,2734549172.522618,307592480.369281,544291185.201053,332686249.689678,163009304.597678,5989326801.560547,21588928.551611,19676134.376577,517583.566837,
2022-11-11 00:00,107169813.506217,2657169988.273236,382037060.123205,546988280.951278,332596249.689678,163527889.990882,6004129538.295374,22369218.611229,19861616.355878,508077.300583,
2022-11-12 00:00,120585957.157551,2633938860.611206,416898597.216346,557126407.533263,332596249.689678,163647344.74149,6014838703.269166,24457340.185884,18979383.08658,499215.63412,
2022-11-13 00:00,119833135.301545,2631298742.346586,550163174.498102,365559794.673959,332596249.689678,164374247.15492,6012427563.431196,24289155.18444,18738971.216626,469309.194032,
2022-11-14 00:00,121007046.786707,2581555540.49372,646874451.719062,426043618.608981,332596249.689678,165997603.539585,6037178278.75339,21910884.343873,19039273.538582,472976.701354,
2022-11-15 00:00,132130307.301013,2566572706.503824,594263440.545062,474920255.171367,332596249.689678,167129481.172888,6039199374.006216,23657801.356742,22567877.312096,478469.030766,
2022-11-16 00:00,147935283.078208,2565184027.633815,641930617.005051,460254310.588065,336596249.689678,157892243.979917,6038218813.042287,25699279.301204,22187731.104576,471215.180554,
2022-11-17 00:00,147508882.864917,2557253019.506377,599263408.613888,463585173.880425,336596249.689678,154887752.027254,6029741384.564061,26806390.447088,24329560.682198,471065.721183,
