evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2022-06-21 00:00,3358742304.102707,788065554.626675,756644312.912044,712914416.953554,5453649154.988637,66398374.014156,326840065.547231,178790333.774103,246626694.488997,26208325.876507,3963977191.39297,1607149.306204,15880463877.983786
2022-06-22 00:00,3355493225.524879,885147051.437759,749531298.839799,675243034.667997,5442268588.029408,68219409.60035,326808714.547231,199390183.903628,245552338.718525,25466719.5847,3959866088.289235,1564708.341004,15934551361.484514
2022-06-23 00:00,3306409238.639175,887979643.926392,745354319.138698,712009224.414266,5515836361.138538,69889567.428746,326808714.547231,202375422.551467,246558367.762547,27058444.053262,3926349805.03148,1598141.477773,15968227250.109575
2022-06-24 00:00,3281913078.111339,885984778.166552,729892190.971359,722375983.594042,5572055247.181807,71096598.704655,326808714.547231,217188361.620543,246352380.625148,27989074.344683,3930622977.758351,1651362.760534,16013930748.386244
2022-06-25 00:00,3291952682.846749,985947264.248469,729003164.932858,631270715.680762,5575507763.907945,75666977.612318,326758714.547231,216633486.253761,246739420.643807,27449525.939068,3919459061.758982,1185551.090057,16027574329.462008
2022-06-26 00:00,3274105047.945022,992379996.83267,729320066.347546,626216601.586945,5553910355.253635,75977988.371509,326706532.547231,231636853.090014,246320629.663221,27665414.773456,3909781924.459749,1172805.348707,15995194216.219706
2022-06-27 00:00,3306970942.693203,1008493791.943266,717037270.594689,595668508.116828,5527786997.32535,73236146.924296,326688232.547231,213210124.91964,246179732.13093,25430376.269449,3908899926.379497,1149415.588565,15950751465.432943
2022-06-28 00:00,3236933835.070787,931416501.466798,714966877.511738,592539456.804995,5504181892.245431,71057247.771158,326688232.547231,212759481.072761,245565627.129988,22401862.427381,3888068784.663616,1136333.136858,15747716131.848742
2022-06-29 00:00,3313992929.353014,864233965.476237,718183392.595948,658606706.406046,5522931176.304297,67953747.465841,326688232.547231,201929188.298943,245096887.713753,23440743.713354,3900847927.619987,1135962.994943,15845040860.489594
2022-06-30 00:00,3295709364.229629,876477322.525527,713574675.737133,698273001.914561,5524414471.560691,72401077.429694,327058485.573846,199079654.310517,244593147.234882,21380467.690234,3898926984.058783,1114981.026145,15873003633.291641
