author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
171,weijiazhang,Weijia Zhang,weijia31415,https://github.com/weijia31415,n/a,Weijia Zhang,,,Correct,Weijia Zhang,"","",Weijia Zhang,""
172,victorporton,Victor Porton,vporton,https://github.com/vporton,51,Victor Porton,,,Correct,Victor Porton,"","","",""
173,justicehudson,Justice Hudson,jchancehud,https://github.com/jchancehud,1,Justice Hudson,,,Correct,Justice Hudson,"","","",""
174,,Michael D. Carter,,,,,,,,Michael D. Carter,"","","",""
175,mineruniter969,mineruniter969,mineruniter969,https://github.com/mineruniter969,1,mineruniter969,,,Correct,mineruniter969,"","","",""
176,query0x,Query0x,Query0x,https://github.com/Query0x,n/a,Query0x,,,Correct,Query0x,"","","",""
177,philippecastonguay,Philippe Castonguay,PhABC,https://github.com/PhABC,275,Philippe Castonguay,,,Correct,Philippe Castonguay,"","",Philippe Castonguay,""
178,calvinkoder,Calvin Koder,ashrowz,https://github.com/ashrowz,5,Calvin Koder,,,Correct,Calvin Koder,"","","",""
179,hexzorro,HexZorro,hexzorro,https://github.com/hexzorro,2,HexZorro,,,Correct,HexZorro,"","","",""
180,nathanginnever,Nathan Ginnever,nginnever,https://github.com/nginnever,124,Nathan Ginnever,,,Correct,Nathan Ginnever,"","",Nathan Ginnever,""
181,pinkiebell,pinkiebell,pinkiebell,https://github.com/pinkiebell,44,pinkiebell,,,Correct,pinkiebell,"","","",""
182,danielstreit,Daniel Streit,danielstreit,https://github.com/danielstreit,18,Daniel Streit,,,Correct,Daniel Streit,"","","",""
183,yuliu,Yu Liu,yuliu-debond,https://github.com/yuliu-debond,16,Yu Liu,,,Correct,Yu Liu,"","","",""
184,alexpapageorgiou,Alex Papageorgiou,alex-ppg,https://github.com/alex-ppg,86,Alex Papageorgiou,,,Correct,Alex Papageorgiou,"","","",""
185,willwang,Will Wang,will42w,https://github.com/will42w,17,Will Wang,,,Correct,Will Wang,"","","",""
186,samporter,Sam Porter,SamPorter1984,https://github.com/SamPorter1984,5,Sam Porter,,,Correct,Sam Porter,"","","",""
187,gajindersingh,Gajinder Singh,g11in,https://github.com/g11in,n/a,Gajinder Singh,,,Correct,Gajinder Singh,"","","",""
188,dankradfeist,Dankrad Feist,dankrad,https://github.com/dankrad,179,Dankrad Feist,,,Correct,Dankrad Feist,"","",Dankrad Feist,""
189,joachimlebrun,Joachim Lebrun,Joachim-Lebrun,https://github.com/Joachim-Lebrun,6,Joachim Lebrun,,,Correct,Joachim Lebrun,"","",Joachim Lebrun,""
190,mikhailkalinin,Mikhail Kalinin,mkalinin,https://github.com/mkalinin,139,Mikhail Kalinin,,,Correct,Mikhail Kalinin,"","",Mikhail Kalinin,""
191,aurynmacmillan,Auryn Macmillan,auryn-macmillan,https://github.com/auryn-macmillan,75,Auryn Macmillan,,,Correct,Auryn Macmillan,"","",Auryn Macmillan,""
