eip_number,Title,Author,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id,author12_id,author13_id,author14_id,author15_id
3198,BASEFEE opcode,"Abdelhamid Bakhta (@abdelhamidbakhta), Vitalik Buterin (@vbuterin)",Abdelhamid Bakhta,Vitalik Buterin,,,,,,,,,,,,,,163,1.0,,,,,,,,,,,,,
3448,MetaProxy Standard,pinkiebell (@pinkiebell),pinkiebell,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,
3475,Abstract Storage Bonds,"Yu Liu (@yuliu-debond), Varun Deshpande (@dr-chain), Cedric Ngakam (@drikssy), Dhruv Malik (@dhruvmalik007), Samuel Gwlanold Edoumou (@Edoumou), Toufic Batrice (@toufic0710)",Yu Liu,Varun Deshpande,Cedric Ngakam,Dhruv Malik,Samuel Gwlanold Edoumou,Toufic Batrice,,,,,,,,,,183,368.0,463.0,526.0,555.0,570.0,,,,,,,,,
3525,Semi-Fungible Token,"Will Wang (@will42w), Mike Meng <[email protected]>, Yi Cai (@YeeTsai) <[email protected]>, Ryan Chow <[email protected]>, Zhongxin Wu (@Nerverwind), AlvisDu (@AlvisDu)",Will Wang,Mike Meng,Yi Cai,Ryan Chow,Zhongxin Wu,AlvisDu,,,,,,,,,,185,369.0,464.0,527.0,556.0,571.0,,,,,,,,,
3529,Reduction in refunds,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",Vitalik Buterin,Martin Holst Swende,,,,,,,,,,,,,,1,2.0,,,,,,,,,,,,,
3541,Reject new contract code starting with the 0xEF byte,"Alex Beregszaszi (@axic), Pawe? Bylica (@chfast), Andrei Maiboroda (@gumb0), Alexey Akhunov (@AlexeyAkhunov), Christian Reitwiessner (@chriseth), Martin Swende (@holiman)",Alex Beregszaszi,Pawel Bylica,Andrei Maiboroda,Alexey Akhunov,Christian Reitwiessner,Martin Holst Swende,,,,,,,,,,11,83.0,214.0,62.0,4.0,2.0,,,,,,,,,
3554,Difficulty Bomb Delay to December 2021,James Hancock (@madeoftin),James Hancock,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,
3607,Reject transactions from senders with deployed code,"Dankrad Feist (@dankrad), Dmitry Khovratovich (@khovratovich), Marius van der Wijden (@MariusVanDerWijden)",Dankrad Feist,Dmitry Khovratovich,Marius Van Der Wijden,,,,,,,,,,,,,188,371.0,226.0,,,,,,,,,,,,
3651,Warm COINBASE,William Morriss (@wjmelements),William Morriss,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,
3668,CCIP Read: Secure offchain data retrieval,Nick Johnson (@arachnid),Nick Johnson,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
3675,Upgrade consensus to Proof-of-Stake,"Mikhail Kalinin (@mkalinin), Danny Ryan (@djrtwo), Vitalik Buterin (@vbuterin)",Mikhail Kalinin,Danny Ryan,Vitalik Buterin,,,,,,,,,,,,,190,50.0,1.0,,,,,,,,,,,,
3855,PUSH0 instruction,"Alex Beregszaszi (@axic), Hugo De la cruz (@hugo-dc), Pawe? Bylica (@chfast)",Alex Beregszaszi,Hugo De la cruz,Pawel Bylica,,,,,,,,,,,,,11,373.0,83.0,,,,,,,,,,,,
3860,Limit and meter initcode,"Martin Holst Swende (@holiman), Pawe? Bylica (@chfast), Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0)",Martin Holst Swende,Pawel Bylica,Alex Beregszaszi,Andrei Maiboroda,,,,,,,,,,,,2,83.0,11.0,214.0,,,,,,,,,,,
4345,Difficulty Bomb Delay to June 2022,"Tim Beiko (@timbeiko), James Hancock (@MadeOfTin), Thomas Jay Rush (@tjayrush)",Tim Beiko,James Hancock,Thomas Jay Rush,,,,,,,,,,,,,196,122.0,467.0,,,,,,,,,,,,
4399,Supplant DIFFICULTY opcode with PREVRANDAO,"Mikhail Kalinin (@mkalinin), Danny Ryan (@djrtwo)",Mikhail Kalinin,Danny Ryan,,,,,,,,,,,,,,190,50.0,,,,,,,,,,,,,
4400,EIP-721 Consumable Extension,"Daniel Ivanov (@Daniel-K-Ivanov), George Spasov (@Perseverance)",Daniel Ivanov,George Spasov,,,,,,,,,,,,,,201,377.0,,,,,,,,,,,,,
4519,Non-Fungible Tokens Tied to Physical Assets,"Javier Arcenegui (@Hardblock-IMSE-CNM), Rosario Arjona (@RosarioArjona), Roberto Román <[email protected]>, Iluminada Baturone (@lumi2018)",Javier Arcenegui,Rosario Arjona,Roberto Román,Iluminada Baturone,,,,,,,,,,,,204,378.0,469.0,530.0,,,,,,,,,,,
4626,Tokenized Vaults,"Joey Santoro (@joeysantoro), t11s (@transmissions11), Jet Jadeja (@JetJadeja), Alberto Cuesta Cañada (@alcueca), Señor Doggo (@fubuloubu)",Joey Santoro,t11s,Jet Jadeja,Alberto Cuesta Cañada,Bryant Eisenbach,,,,,,,,,,,209,381.0,470.0,170.0,327.0,,,,,,,,,,
